GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
nacos-address 1.1.3,com.alibaba.nacos.address,AddressServer,8,0,0,0,3,0,2,0,2,0
nacos-address 1.1.3,com.alibaba.nacos.address.util,AddressServerParamCheckUtil,5,68,2,8,2,11,3,5,1,2
nacos-address 1.1.3,com.alibaba.nacos.address.misc,Loggers,7,0,0,0,2,0,2,0,2,0
nacos-address 1.1.3,com.alibaba.nacos.address.component,AddressServerGeneratorManager,181,0,18,0,33,0,16,0,7,0
nacos-address 1.1.3,com.alibaba.nacos.address.component,AddressServerManager,39,0,10,0,11,0,10,0,5,0
nacos-address 1.1.3,com.alibaba.nacos.address.controller,ServerListController,74,0,4,0,10,0,4,0,2,0
nacos-address 1.1.3,com.alibaba.nacos.address.controller,AddressServerClusterController,260,0,10,0,47,0,8,0,3,0
