GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
nacos-common 1.1.3,com.alibaba.nacos.common.util,UuidUtils,6,0,0,0,2,0,2,0,2,0
nacos-common 1.1.3,com.alibaba.nacos.common.util,VersionUtils,62,0,10,0,19,0,7,0,2,0
nacos-common 1.1.3,com.alibaba.nacos.common.util,HttpMethod,3,0,0,0,1,0,1,0,1,0
nacos-common 1.1.3,com.alibaba.nacos.common.util,Md5Utils,137,0,2,0,21,0,4,0,3,0
nacos-common 1.1.3,com.alibaba.nacos.common.util,IoUtils,124,0,22,0,32,0,16,0,5,0
nacos-common 1.1.3,com.alibaba.nacos.common.util,ResourceUtils,178,0,18,0,41,0,21,0,12,0
nacos-common 1.1.3,com.alibaba.nacos.common.util,Pair,28,0,0,0,12,0,6,0,6,0
